participantid,ip_address,variable1,variable2,variable3,variable4,variable5,variable6,demographicscateg,condition12,condition1234,comments,completion_timeseconds,exclude_completion,exclude_time,variance,exclude_variance
103,73.173.1,4,4,6,5,5,6,2,1,3,,527,0,0,0.8,0
109,97.102.1,1,4,4,4,5,6,2,2,3,,287,0,0,2.8,0
118,108.30.2,3,6,6,2,3,2,1,1,1,,391,0,0,3.4666666666666672,0
121,75.128.9,2,5,5,2,1,1,2,1,2,,377,0,0,3.4666666666666672,0
122,76.185.1,6,2,3,5,6,5,2,1,4,,359,0,0,2.7,0
126,47.208.6,3,6,6,6,7,6,2,2,1,,595,0,0,1.8666666666666665,0
128,73.214.8,2,2,3,5,6,7,1,1,1,,296,0,0,4.566666666666667,0
129,24.167.1,1,4,4,1,1,3,2,2,3,,466,0,0,2.2666666666666666,0
132,24.46.11,2,4,4,3,4,3,2,2,3,,296,0,0,0.6666666666666666,0
133,72.187.1,2,3,3,3,2,4,1,1,3,,550,0,0,0.5666666666666667,0
134,108.30.2,1,5,5,4,5,5,1,1,1,,514,0,0,2.5666666666666673,0
136,71.206.8,7,2,2,5,7,6,1,2,1,,358,0,0,5.366666666666667,0
137,76.210.1,2,6,6,6,6,5,1,2,1,,435,0,0,2.5666666666666673,0
138,76.23.61,1,5,5,5,7,6,1,1,1,,418,0,0,4.166666666666667,0
144,70.182.9,1,5,5,6,4,7,1,1,4,,571,0,0,4.266666666666667,0
145,71.181.2,3,6,7,3,3,2,1,1,2,,382,0,0,4,0
147,107.210.,3,6,6,4,1,2,2,2,2,,160,0,0,4.2666666666666675,0
148,70.182.9,6,2,2,3,3,1,1,2,2,,226,0,0,2.9666666666666672,0
149,100.15.1,2,2,3,2,1,3,1,2,1,none,533,0,0,0.5666666666666667,0
160,49.205.1,1,5,5,4,6,4,1,2,3,,406,0,0,2.9666666666666672,0
161,142.196.,7,2,2,4,4,5,2,1,1,,541,0,0,3.6,0
171,108.215.,6,2,2,3,2,4,1,1,3,,226,0,0,2.566666666666667,0
175,67.249.8,2,6,6,7,5,6,2,1,4,,170,0,0,3.0666666666666664,0
183,75.12.93,3,6,6,6,4,7,2,1,4,,401,0,0,2.2666666666666666,0
186,64.237.2,3,6,7,7,5,6,2,1,4,exclude me!,463,0,0,2.2666666666666666,0
187,71.63.20,2,4,4,7,7,6,1,2,3,,213,0,0,4,0
194,47.156.2,7,2,2,1,3,2,2,2,2,,516,0,0,4.566666666666666,0
195,24.1.163,7,2,2,3,2,1,2,2,4,,557,0,0,4.566666666666666,0
203,24.247.1,3,6,6,5,6,5,1,1,4,I did your survey twice! Oops!,248,0,0,1.3666666666666665,0
207,68.63.16,6,2,3,7,4,5,2,2,4,none,289,0,0,3.5,0
209,24.31.24,4,3,4,3,2,1,2,2,3,,563,0,0,1.3666666666666667,0
210,74.196.6,3,3,3,5,6,5,2,2,1,,214,0,0,1.7666666666666668,0
214,69.247.7,4,3,3,3,2,4,1,1,3,,454,0,0,0.5666666666666667,0
217,71.192.8,3,3,3,7,6,7,2,2,3,,192,0,0,4.166666666666666,0
227,163.238.,2,6,6,3,4,3,1,1,4,,332,0,0,2.8,0
232,68.184.4,3,6,6,1,3,2,2,2,1,,457,0,0,4.3,0
233,99.136.2,7,2,2,1,3,4,1,2,4,,191,0,0,4.566666666666667,0
235,162.248.,1,4,4,1,3,3,1,2,2,,212,0,0,1.8666666666666665,0
240,174.60.7,4,5,6,4,3,3,1,2,1,,541,0,0,1.3666666666666667,0
248,73.149.2,3,3,3,7,7,6,1,2,3,thanks,265,0,0,4.166666666666666,0
252,47.17.18,3,6,5,7,5,6,1,1,3,,254,0,0,1.8666666666666665,0
261,24.34.32,2,6,6,3,4,3,1,2,1,,158,0,0,2.8,0
268,76.99.15,2,6,6,3,3,5,1,2,3,great survey,181,0,0,2.966666666666667,0
273,173.69.6,1,5,5,3,3,2,2,2,2,,463,0,0,2.5666666666666673,0
280,72.185.1,3,6,6,2,3,2,2,2,1,,421,0,0,3.4666666666666672,0
287,47.202.1,5,6,6,2,1,3,2,2,2,,377,0,0,4.566666666666667,0
294,162.231.,2,5,5,5,5,5,2,2,1,,528,0,0,1.5,0
295,74.70.19,4,3,3,5,7,4,2,1,3,,30,0,1,2.2666666666666666,0
296,114.142.,4,3,2,4,3,5,1,2,2,,201,0,0,1.1,0
298,75.39.5.,7,2,2,5,6,7,1,2,2,,597,0,0,5.366666666666667,0
306,76.92.35,2,5,5,2,2,2,1,2,1,,191,0,0,2.4,0
315,68.44.12,4,5,6,6,7,6,2,1,4,I am a bot.,303,0,0,1.0666666666666664,0
318,71.172.3,1,4,4,3,3,4,1,2,4,,576,0,0,1.3666666666666667,0
323,66.66.17,2,6,6,3,3,4,1,1,1,,382,0,0,2.8,0
324,73.61.25,2,5,5,1,2,3,2,2,3,,460,0,0,2.8,0
326,108.208.,6,2,2,2,2,3,2,2,3,,359,0,0,2.566666666666667,0
330,67.242.1,3,3,3,7,4,6,2,1,4,,477,0,0,3.0666666666666664,0
331,96.27.11,1,4,3,5,4,6,1,1,1,,437,0,0,2.9666666666666672,0
332,173.91.8,6,2,2,7,6,5,1,2,1,,407,0,0,4.666666666666666,0
339,184.91.9,2,5,5,6,5,6,2,1,1,,375,0,0,2.1666666666666674,0
